company,level,location,rating,salary_from,salary_to,salary_unit,skill,state,title
SConcept,entry,"New York, NY",,75000.0,80000.0,year,python,New York,Jr. Data Scientist
Net Resolute,entry,"New York, NY 10038 ",,40.0,45.0,hour,python,New York,Python Developer
Digitalogy,entry,"New York, NY",,50.0,80.0,hour,python,New York,Data Scientist
Columbia University,entry,"New York, NY",4.1,50445.0,50445.0,year,python,New York,Research Assistant
Third Republic,entry,"New York, NY 10017 ",,95.0,95.0,hour,python,New York,AWS Redshift & Matillion
Columbia University,entry,"New York, NY",4.1,20.0,20.0,hour,python,New York,Short-Term Casual
New York City TAXI & LIMOUSINE COMMISSION,entry,"New York, NY 10004 ",2.8,37217.0,61936.0,year,python,New York,Policy Analyst
Triplebyte,entry,"New York, NY",,125000.0,190000.0,year,python,New York,Software Engineer
theCoderSchool - Sarasota,entry,"Sarasota, FL 34240",,16.0,24.0,hour,python,Florida,Code Coach \ Instructor
DLS Professional Services/ Cisco,entry,"Miami, FL",,100000.0,120000.0,year,python,Florida,Network Solutions Readiness Engineer II
ADVFN,entry,"Tallahassee, FL",,40000.0,60000.0,year,python,Florida,"Web Application Developer (PHP, JS)"
"Morrow Steel Fabricators, Inc",entry,"Zephyrhills, FL 33542",,13.0,13.0,hour,python,Florida,CNC Machine Operator
Emphasys Software,entry,"Miami, FL 33178",,70000.0,80000.0,year,python,Florida,Python Linux Developer
"Main Street Softworks, Inc.",entry,Florida,,65000.0,105000.0,year,python,Florida,Base Requirements:
University of South Florida,entry,"Tampa, FL",4.2,100000.0,130000.0,year,python,Florida,Assistant Professor
City of St. Petersburg,entry,"Saint Petersburg, FL",3.9,45896.0,72913.0,year,python,Florida,GIS Specialist / Programmer I
City of St. Petersburg,entry,"Saint Petersburg, FL",3.9,22.06,35.05,hour,python,Florida,GIS Specialist/Programmer I (Temporary)
theCoderSchool - Sarasota,entry,"Lakewood Ranch, FL",,16.0,24.0,hour,python,Florida,Code Coach
International Leadership of Texas,entry,"Houston, TX",3.3,46000.0,54500.0,year,python,Texas,ILTexas Hiring - HS Computer Science/Robotics Teacher - Katy...
iCode School Coppell,entry,"Coppell, TX",,14.0,15.0,hour,python,Texas,Teacher: Computer Science
Linaro,entry,"Austin, TX",,75000.0,150000.0,year,python,Texas,Solutions Architect & Technical Lead
Wyzant,entry,"Houston, TX 77006 ",4.0,24.0,30.0,hour,python,Texas,Tutor or Teacher - Python
iCode McKinney,entry,"McKinney, TX 75070",,10.0,18.0,hour,python,Texas,Part Time STEAM Teacher
Qbtech,entry,"Pearland, TX",,13.5,15.0,hour,python,Texas,IT Technical Support Specialist Part Time - Med Tech company
Indeed,entry,"Austin, TX 78731",4.4,98000.0,120000.0,year,python,Texas,Quality Assurance Automation Engineer (Seen by Indeed)
Indeed,entry,"Austin, TX 78731",4.4,104000.0,130000.0,year,python,Texas,Infrastructure Security Engineer (Cloud)
Indeed,entry,"Austin, TX 78731",4.4,90000.0,112000.0,year,python,Texas,"Software Engineer, Site Reliability Engineer"
Wyzant,entry,"Denton, TX 76202",4.0,24.0,30.0,hour,python,Texas,Python Tutor/Teacher
"Blocksi, Inc",entry,"Austin, TX 78758 ",,60000.0,85000.0,year,python,Texas,DevOps/Build and Release Engineer
DCE UAS LLC,entry,"Houston, TX",,2500.0,2500.0,month,python,Texas,Regional Account Manager
Wyzant,entry,"Hearne, TX 77859",4.0,24.0,30.0,hour,python,Texas,Python Tutoring/Teaching
aristasys.com,entry,"Irving, TX",,60000.0,60000.0,year,python,Texas,Java Developers with Big Data Analytics(Freshers can apply)
Cyber Tech Group,entry,"Houston, TX",,65000.0,65000.0,year,python,Texas,Cloud Support Engineer
SMART Core Labs,entry,"Pearland, TX 77584",,15.0,18.0,hour,python,Texas,Teacher
Fortune minds Inc,entry,"Frisco, TX",,50.0,60.0,hour,python,Texas,Java Full Stack Developer
SDH Systems,entry,"The Woodlands, TX 77380",,91915.0,91915.0,year,python,Texas,SharePoint Developer
eKidsHub,entry,"Katy, TX 77450",,10.0,15.0,hour,python,Texas,Software Programmer
"Acerra Technologies, Inc.",entry,"Stafford, TX 77477",,40000.0,40000.0,year,python,Texas,Systems Programmer
Solware it technologies,entry,"McKinney, TX",,80000.0,90000.0,year,python,Texas,Java Developer
Digital Creative Institute,entry,"San Antonio, TX",5.0,30000.0,30000.0,year,python,Texas,Data Analyst Specialist - Associates Degree
Shipyard,entry,"Austin, TX",,70000.0,100000.0,year,python,Texas,Solution Engineer
AriesConsultancy Services Inc,entry,"Dallas, TX",,60.0,60.0,hour,python,Texas,Java Developer
Indeed,entry,"Austin, TX 78731",4.4,98000.0,120000.0,year,python,Texas,QA Automation Engineer
Solware it technologies,entry,"McKinney, TX",,80000.0,90000.0,year,python,Texas,Big Data Developer
Texas A&M University,entry,"College Station, TX 77803",4.4,5417.0,5417.0,month,python,Texas,Postdoctoral Research Associate
Travis County,entry,"Austin, TX 78701 ",3.7,59467.0,64813.0,year,python,Texas,Application Dev Analyst
Ingress IT Solutions,entry,"Houston, TX",,70000.0,75000.0,year,python,Texas,Junior AWS/DevOps Engineer
Cottonwood Financial,entry,"Irving, TX 75038",2.7,74000.0,74000.0,year,python,Texas,Data Scientist
BMC Software,entry,"Houston, TX 77042 ",4.0,65000.0,72500.0,year,python,Texas,Technical Support Analyst
Digital Creative Institute,entry,"Dallas, TX",5.0,30000.0,30000.0,year,python,Texas,Data Analyst - Associates Degree
iCode,entry,"Coppell, TX 75019",3.3,15.0,25.0,hour,python,Texas,Part Time STEAM Teacher
"TRIPBAM, Inc.",entry,"Dallas-Fort Worth, TX",,65000.0,90000.0,year,python,Texas,Software Developer
Zelus Analytics,entry,"Austin, TX 78703",,95000.0,125000.0,year,python,Texas,Data Engineer - Cloud
"Veritank, Inc.",entry,"Houston, TX",,50000.0,75000.0,year,python,Texas,Field Operations Engineer
Digital Creative Institute,entry,"Houston, TX",5.0,30000.0,30000.0,year,python,Texas,Data Analyst (Community College Students)
Zelus Analytics,entry,"Austin, TX 78703",,95000.0,125000.0,year,python,Texas,Software Engineer - Sports Analytics
theCoderSchool,entry,"Frisco, TX 75033",4.3,15.0,20.0,hour,python,Texas,Code Coach
RunTitle,entry,"Austin, TX",,20.0,35.0,hour,python,Texas,Software Engineering Co-op
Herbal Goodness,entry,"McKinney, TX 75069",,1200.0,1200.0,month,python,Texas,AWS & JavaScript and Python Web Application Developer
Code Lab Technology,entry,"Dallas, TX",,60000.0,70000.0,year,python,Texas,DevOps Engineer
MediaScience,entry,"Austin, TX 78753 ",2.6,18.0,20.0,hour,python,Texas,Technical Associate
Forescout Technologies Inc.,entry,"Dallas, TX",3.5,20.0,30.0,hour,python,Texas,Jr. QA Engineer Contractor
Solware it technologies,entry,"McKinney, TX",,80000.0,90000.0,year,python,Texas,Python Developer
"BioUrja Trading, LLC",entry,"Houston, TX 77077",,20.0,30.0,hour,python,Texas,Quantitative Analyst Intern
NLB,entry,"Austin, TX",,60.0,65.0,hour,python,Texas,Python Developer
10BITS LLC,entry,"Dallas, TX",,65000.0,80000.0,year,python,Texas,Entry Level Software Developer
Essani International LLC,entry,"Austin, TX",,70.0,80.0,hour,python,Texas,Python Automation Developer
Sigmoid,entry,"Dallas, TX",,50000.0,70000.0,year,python,Texas,Jr. Software Engineer (Entry Level)
State Farm,entry,"Richardson, TX 75081",3.8,25.0,25.0,hour,python,Texas,Intern - Data Engineering
True North IT Services,entry,"Mabank, TX 75147",,45000.0,65000.0,year,python,Texas,Junior Programmer
FrogSlayer,entry,"College Station, TX 77840",,25.0,25.0,hour,python,Texas,Jr. Software Developer
Zelus Analytics,entry,"Austin, TX 78703",,80000.0,110000.0,year,python,Texas,Data Scientist - Sports
PCS GlobalTech,entry,"Austin, TX",,60000.0,80000.0,year,python,Texas,Jr. BI Developer
Indeed,entry,"Austin, TX 78731",4.4,22.59,29.33,hour,python,Texas,Search Quality Policy Analyst
Big H Solutions Inc,entry,"Dallas, TX",,90000.0,110000.0,year,python,Texas,Hadoop Administrator
SConcept,entry,"Texas City, TX",,70000.0,80000.0,year,python,Texas,Jr. QA Tester position (Manual/Automation)
Dept of Family & Protectve Svc,entry,"Austin, TX 78751",3.4,4599.0,7533.0,month,python,Texas,Data Analyst
University of Houston Clear Lake,entry,"Houston, TX 77058 ",4.3,4160.0,4160.0,month,python,Texas,Data Analytics Specialist (Reposted)
SConcept,entry,"Carrollton, TX",,74000.0,78000.0,year,python,Texas,Entry Level .Net Developers
Mobile Integration-Group,entry,"Austin, TX",,60000.0,70000.0,year,python,Texas,Junior Telecom/Wireless Engineer
Hackingtons Corporation,entry,California,,11.0,11.0,hour,python,California,Student assistant
Ryptic Room Escape,entry,"San Mateo, CA",,15.0,20.0,hour,python,California,Lead Puzzle Maker
University of California Berkeley,entry,"Berkeley, CA",4.2,50760.0,59100.0,year,python,California,Postdoctoral Scholar
ViaBot Inc.,entry,"Sunnyvale, CA 94089",,50000.0,70000.0,year,python,California,Robotics Software Engineer - Navigation & Controls
Wide Merchant Investment,entry,"Los Angeles, CA 90010",,50000.0,50000.0,year,python,California,Software Dev
Pricesenz,entry,"Hollywood, CA",,125000.0,135000.0,year,python,California,Java Software Developer
West Advanced Technologies (WATI),entry,"Manhattan Beach, CA",,71531.0,71531.0,year,python,California,Computer Programmer/Software Developer
ViaBot Inc.,entry,"Sunnyvale, CA 94089",,60000.0,60000.0,year,python,California,Robotics Software Engineer: Perception & Localization
"StereoVision Imaging, Inc.",entry,"Calabasas, CA 91302",,35.0,35.0,hour,python,California,R&D Test Engineer
C.R.E.W.,entry,"San Francisco, CA 94133 ",,18.0,30.0,hour,python,California,Computer Science Instructor
Adagio Medical,entry,"Laguna Hills, CA",4.5,30000.0,60000.0,year,python,California,Junior Embedded Software Engineer
Innovative Intelligent Solutions,entry,"Fremont, CA 94536",4.0,25.0,50.0,hour,python,California,Software Developer
RF Tech Networks,entry,"San Francisco, CA",,70.0,70.0,hour,python,California,BI Engineer
"RICEFW Technologies, inc",entry,"Sunnyvale Baylands Park, CA",,50.0,55.0,hour,python,California,Hadoop Developer
Bionika,entry,"Burbank, CA",,90000.0,120000.0,year,python,California,Computer Vision Engineer
NIWC Pacific,entry,"San Diego, CA 92152",,65000.0,125000.0,year,python,California,Machine Learning Scientist
RoundhouseOne,entry,"San Francisco, CA 94111 ",,20.0,25.0,hour,python,California,Assembly Technician
Createch,entry,"Los Altos, CA",,130000.0,130000.0,year,python,California,Frontend Software Engineer
Composite Apps Inc.,entry,"Irvine, CA 92618",,40000.0,50000.0,year,python,California,Entry Level Developer
Urpantech,entry,"California City, CA",,35.0,50.0,hour,python,California,Java Developer
VIATOUCH MEDIA Inc,entry,"San Diego, CA",,70000.0,70000.0,year,python,California,Computer Vision/Deep Learning Software Engineer
UCLA,entry,"Los Angeles, CA 90095",4.3,22.0,35.0,hour,python,California,Programmer Analyst-Research Lab
SDH Systems,entry,"Pleasanton, CA 94588",,107494.0,107494.0,year,python,California,Devops Engineer
"SPEC Services, Inc.",entry,"Fountain Valley, CA 92708",,17.0,25.0,hour,python,California,PIPING DESIGNERS
"University of California, Santa Cruz",entry,"Santa Cruz, CA 95064",4.3,51200.0,51200.0,year,python,California,Institute of Marine Sciences: Coastal Modeler
Association of Monterey Bay Area Governments (AMBA...,entry,"Monterey, CA 93940",,14.7,19.77,hour,python,California,GIS & Planning Intern
Coding Minds Academy,entry,"Arcadia, CA 91006",,15.0,35.0,hour,python,California,Coding Instructor
C.R.E.W.,entry,"San Francisco, CA 94133 ",,18.0,30.0,hour,python,California,C S Instructor
University of San Diego,entry,"San Diego, CA",4.3,20.0,20.0,hour,python,California,"Research Assistant, The Jacobs Institute for Innovation in E..."
Tiro Security,entry,"Los Angeles, CA",,160000.0,160000.0,year,python,California,Application Security Engineer
American Education Elites,entry,"Irvine, CA",,20.0,30.0,hour,python,California,Tutor (Online)
Pit.AI Technologies Inc.,entry,"San Jose, CA 95131 ",,150000.0,150000.0,year,python,California,Mathematical Scientist
TechPro,entry,"Sunnyvale, CA",,60.0,60.0,hour,python,California,Database Administrator
University of California Santa Barbara,entry,"Santa Barbara, CA 93106",4.5,20000.0,20000.0,year,python,California,"UCEAP Faculty Director, Spain 2021-23"
Coding Minds Academy,entry,"Arcadia, CA",,15.0,35.0,hour,python,California,Coding Instructor(15-35/hr)
"University of California, Santa Barbara",entry,"Santa Barbara, CA 93106",4.5,23.95,23.95,hour,python,California,Staff Research Associate II - Wetland
"AWM Smart Shelf (Adroit Worldwide Media, Inc.)",entry,"Aliso Viejo, CA 92656",,110000.0,140000.0,year,python,California,Computer Vision Engineer
Triplebyte,entry,"Los Angeles, CA",,125000.0,190000.0,year,python,California,Software Engineer
Change Research,entry,"Palo Alto, CA",4.5,90000.0,150000.0,year,python,California,Data Scientist - Natural Language Processing
"AOSense, Inc.",entry,"Sunnyvale, CA 94085",,50000.0,110000.0,year,python,California,R&D Technician
Rangam Consultants Inc.,entry,"Menlo Park, CA",4.0,50.0,55.0,hour,python,California,Product Data Analyst
"University of California, Davis",entry,"Davis, CA 95616 ",4.2,23.66,47.51,hour,python,California,APPLICATIONS PROGR 2 (Programmer)
Compology,entry,"San Francisco, CA 94103 ",,125000.0,175000.0,year,python,California,Head of Hardware Testing
Electronic Frontier Foundation,entry,"San Francisco, CA 94110 ",,85000.0,85000.0,year,python,California,Help Desk Lead
UC San Diego,entry,"San Diego, CA",4.3,63400.0,83250.0,year,python,California,Hydrometeorology Research Analyst 3
Vesta Home,entry,"Los Angeles, CA",,60000.0,80000.0,year,python,California,Finance & Data Analyst
Kwai Technology,entry,"Palo Alto, CA",,150000.0,500000.0,year,python,California,AI Algorithm Researcher/Engineer
Spry Health,entry,"Palo Alto, CA",,100000.0,135000.0,year,python,California,Algorithm Research Engineer
Catalyst,entry,"San Francisco, CA 94107 ",,100000.0,225000.0,year,python,California,Principal Data Scientist
US Department of the Navy,entry,"Monterey, CA",4.3,75515.0,117669.0,year,python,California,METEOROLOGIST
EE Recruiters,entry,"Santa Clara, CA 95051",,120000.0,175000.0,year,python,California,Test Engineer
PCS Global Tech,entry,"Poway, CA",,60000.0,70000.0,year,python,California,Entry Level Openings for Data Analyst and MS BI Developer fo...
Hatchways,entry,"San Francisco Bay Area, CA",,70000.0,90000.0,year,python,California,Jr. Software Engineer
PCS Global Tech,entry,"San Diego, CA",,60000.0,70000.0,year,python,California,"Entry Level Data Analyst/SQL or BI Developer || Poway, CA ||..."
ShareWorld Learning Center,entry,"Cupertino, CA 95014",,30.0,40.0,hour,python,California,Need History&Literature&Essay Writing Teacher and Python/Jav...
Spry Health,entry,"Palo Alto, CA",,100000.0,135000.0,year,python,California,Data Scientist
"University of California, Santa Barbara",entry,"Santa Barbara, CA 93106",4.5,23.95,26.96,hour,python,California,Staff Research Assistant II
PCS Global Tech,entry,"San Diego, CA",,60000.0,70000.0,year,python,California,"Activity Hiring || Entry Level Data Analyst || San Diego, CA..."
LA Clippers,entry,"Los Angeles, CA 90015",4.3,14.25,14.25,hour,python,California,Data Analytics Intern
HCL America Inc,entry,"Mountain View, CA",2.8,35.0,38.0,hour,python,California,Jr. Python Developer
Dataquest Corp,entry,"Los Angeles, CA",,75000.0,85000.0,year,python,California,Entry Level Python Developer
DIGITAL DHARA,entry,California,,60.0,70.0,hour,python,California,Python Backend Developer
Volvo Cars Technology,entry,"Mountain View, CA",,60.0,80.0,hour,python,California,Python Developer(Contract)
New Age Meats,entry,"Berkeley, CA",,20.0,20.0,hour,python,California,Bioengineering Intern
Livermore Software Technology Corporation (LSTC),entry,California,,120000.0,120000.0,year,python,California,Pro­ject En­gi­neer
Invoca,entry,"Santa Barbara, CA 93101",3.8,85000.0,95000.0,year,python,California,Software Engineer - Ruby/ Python
Tierra Resource Consultants,entry,"Walnut Creek, CA",,25.0,25.0,hour,python,California,Research Intern
Hackingtons Corporation,entry,California,,15.0,20.0,hour,python,California,Assistant Instructor
Test Pro,entry,"Los Angeles, CA",4.0,40.0,100.0,hour,python,California,Python instructor
IEQ Capital,entry,"Foster City, CA",,90000.0,110000.0,year,python,California,Research Associate
